taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/164	164	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/172	172	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/175	175	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/179	179	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/188	188	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/195	195	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/2	2	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/205	205	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/21	21	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/216	216	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/228	228	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/229	229	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/250	250	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/260	260	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/27	27	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/278	278	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/294	294	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/333	333	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/341	341	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/356	356	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/368	368	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/376	376	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/390	390	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/397	397	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/403	403	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/408	408	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/419	419	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/421	421	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/428	428	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/445	445	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/469	469	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/47	47	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/491	491	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/498	498	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/511	511	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/523	523	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/542	542	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/545	545	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/558	558	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/562	562	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/58	58	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/583	583	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/588	588	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/594	594	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/600	600	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/608	608	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/615	615	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/62	62	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/624	624	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/625	625	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/632	632	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/649	649	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/674	674	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/68	68	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/699	699	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/734	734	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/738	738	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/74	74	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/753	753	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/757	757	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/774	774	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/780	780	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/786	786	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/792	792	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/801	801	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/807	807	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/81	81	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/812	812	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/862	862	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/873	873	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/879	879	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/892	892	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/9	9	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/90	90	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/906	906	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/913	913	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/922	922	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/930	930	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/933	933	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/942	942	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/950	950	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/955	955	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/97	97	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/970	970	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/974	974	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/99	99	-	-	-
